NOTE,ID,FREQ
C1,0,8.175798916
Db,1,8.661957218
D,2,9.177023997
Eb,3,9.722718241
E,4,10.30086115
F,5,10.91338223
Gb,6,11.56232571
G,7,12.24985737
Ab,8,12.9782718
A,9,13.75
Bb,10,14.56761755
B,11,15.43385316
C2,12,16.35159783
Db,13,17.32391444
D,14,18.35404799
Eb,15,19.44543648
E,16,20.60172231
F,17,21.82676446
Gb,18,23.12465142
G,19,24.49971475
Ab,20,25.9565436
A,21,27.5
Bb,22,29.13523509
B,23,30.86770633
C3,24,32.70319566
Db,25,34.64782887
D,26,36.70809599
Eb,27,38.89087297
E,28,41.20344461
F,29,43.65352893
Gb,30,46.24930284
G,31,48.9994295
Ab,32,51.9130872
A,33,55
Bb,34,58.27047019
B,35,61.73541266
C4,36,65.40639133
Db,37,69.29565774
D,38,73.41619198
Eb,39,77.78174593
E,40,82.40688923
F,41,87.30705786
Gb,42,92.49860568
G,43,97.998859
Ab,44,103.8261744
A,45,110
Bb,46,116.5409404
B,47,123.4708253
C5,48,130.8127827
Db,49,138.5913155
D,50,146.832384
Eb,51,155.5634919
E,52,164.8137785
F,53,174.6141157
Gb,54,184.9972114
G,55,195.997718
Ab,56,207.6523488
A,57,220
Bb,58,233.0818808
B,59,246.9416506
C6,60,261.6255653
Db,61,277.182631
D,62,293.6647679
Eb,63,311.1269837
E,64,329.6275569
F,65,349.2282314
Gb,66,369.9944227
G,67,391.995436
Ab,68,415.3046976
A,69,440
Bb,70,466.1637615
B,71,493.8833013
C7,72,523.2511306
Db,73,554.365262
D,74,587.3295358
Eb,75,622.2539674
E,76,659.2551138
F,77,698.4564629
Gb,78,739.9888454
G,79,783.990872
Ab,80,830.6093952
A,81,880
Bb,82,932.327523
B,83,987.7666025
C8,84,1046.502261
Db,85,1108.730524
D,86,1174.659072
Eb,87,1244.507935
E,88,1318.510228
F,89,1396.912926
Gb,90,1479.977691
G,91,1567.981744
Ab,92,1661.21879
A,93,1760
Bb,94,1864.655046
B,95,1975.533205
C9,96,2093.004522
Db,97,2217.461048
D,98,2349.318143
Eb,99,2489.01587
E,100,2637.020455
F,101,2793.825851
Gb,102,2959.955382
G,103,3135.963488
Ab,104,3322.437581
A,105,3520
Bb,106,3729.310092
B,107,3951.06641
C10,108,4186.009045
Db,109,4434.922096
D,110,4698.636287
Eb,111,4978.03174
E,112,5274.040911
F,113,5587.651703
Gb,114,5919.910763
G,115,6271.926976
Ab,116,6644.875161
A,117,7040
Bb,118,7458.620184
B,119,7902.13282
C11,120,8372.01809
Db,121,8869.844191
D,122,9397.272573
Eb,123,9956.063479
E,124,10548.08182
F,125,11175.30341
Gb,126,11839.82153
G,127,12543.85395
